missing_reference,count
Application number: 30671/96,43
Application number: 30672/03,43
"Ireland v. the United Kingdom, judgment of 18 January 1978, Series A no. 25, pp. 64-65, § 161",43
Application number: 20058/02,43
"Akkus v. Turkey judgment of 9 July 1997, Reports 1997-IV, pp. 1303 and suiv., pp. 1309-1310, § 29",43
Application number: 30678/96,43
Application number: 70/01,43
Application number: 21166/02,43
Application number: 11673/02,43
Application number: 34610/97,43
"Stran Greek Refineries and Stratis Andreadis v. Greece, judgment of 9 December 1994, Series A no. 301-B, p. 84, § 59",43
Application number: 15343/02,43
Application number: 15367/14,42
Application number: 77568/01,42
Application number: 35178/97,42
Application number: 8721/05,42
"Handyside v. the United Kingdom, 7 December 1976, § 49, Series A no. 24",42
Application number: 37818/10,42
Application number: 61535/09,42
Application number: 55400/09,42
Application number: 40756/06,42
Application number: 41413/98,42
Application number: 42575/07,42
Application number: 46882/09,42
Application number: 57875/09,42
Application number: 35315/10,42
Application number: 115/05,41
Application number: 3042/06,41
Application number: 3043/06,41
Application number: 62902/00,41
Application number: 3046/06,41
Application number: 3041/06,41
Application number: 10755/13,41
Application number: 57420/00,41
"Cardot v. France, 19 March 1991, § 34, Series A no. 200",41
Application number: 30024/96,41
Application number: 3045/06,41
"Jersild v. Denmark, 23 September 1994, § 31, Series A no. 298",41
Application number: 64119/00,41
Application number: 8705/05,40
Application number: 8742/05,40
Application number: 43440/98,40
Application number: 76292/01,40
Application number: 30767/05,40
Application number: 33800/06,40
Application number: 71555/01,40
"Aka v. Turkey judgment of 23 September 1998, Reports 1998-VI, p. 2683, §§ 55-56",40
"Hertel v. Switzerland, judgment of 25 August 1998, Reports 1998-VI, p. 2334, § 63",40
Application number: 75907/01,40
Application number: 24384/19,39
Application number: 44574/98,39
Application number: 36337/97,39
Application number: 44234/20,39
Application number: 32126/02,39
Application number: 32137/02,39
Application number: 65653/01,39
Application number: 18640/10,39
Application number: 34763/02,39
Application number: 32129/02,39
Application number: 69582/01,39
Application number: 32132/02,39
Application number: 4048/03,39
Application number: 32138/02,39
Application number: 52439/99,39
Application number: 32133/02,39
Application number: 35974/97,39
"Ireland v. the United Kingdom, 18 January 1978, § 162, Series A no. 25",38
Application number: 67679/01,38
Application number: 28138/95,38
Application number: 28498/95,38
Application number: 2134/23,38
Application number: 30517/96,38
Application number: 31519/96,38
Application number: 40774/02,38
Application number: 11/02,38
"Ruotolo v. Italy, judgment of 27 February 1992, Series A no. 230-D, p. 39, § 17",38
Application number: 39574/02,38
Application number: 27692/95,38
Application number: 43115/18,38
Application number: 15670/18,38
Application number: 34297/02,38
Application number: 53727/08,37
Application number: 56001/08,37
Application number: 54486/08,37
Application number: 39483/05,37
Application number: 25067/94,37
Application number: 40527/10,37
Application number: 40081/14,37
Application number: 1789/07,37
Application number: 26160/08,37
Application number: 28058/07,37
Application number: 52851/08,37
Application number: 26005/08,37
Application number: 68/02,37
Application number: 24559/94,37
Application number: 21838/10,36
Application number: 58/04,36
Application number: 11157/04,36
Application number: 69234/11,36
Application number: 28953/03,36
Application number: 47797/99,36
Application number: 11264/04,36
Application number: 52562/99,36
Application number: 15162/05,36
Application number: 68698/01,36
Application number: 2476/02,36
Application number: 15227/03,36
Application number: 36117/02,36
Application number: 37393/02,36
Application number: 25068/94,35
Application number: 48205/99,35
Application number: 25924/08,35
Application number: 14599/09,35
Application number: 25101/05,35
Application number: 29692/96,35
Application number: 37096/97,35
Application number: 35555/05,35
"Ireland v. the United Kingdom, judgment of 18 January 1978, Series A no. 25, p. 65, § 162",35
Application number: 3321/67,35
Application number: 27451/09,35
Application number: 21475/04,35
Application number: 43449/02,35
Application number: 50003/99,35
Application number: 60650/09,35
Application number: 38602/02,35
Application number: 40160/98,35
Application number: 40153/98,35
Application number: 34612/97,35
Application number: 37101/97,35
Application number: 17423/05,35
Application number: 13628/03,34
Application number: 20514/15,34
Application number: 14526/07,34
"Guerra and Others v. Italy, 19 February 1998, § 44, Reports of Judgments and Decisions 1998-I",34
Application number: 29835/96,34
Application number: 60441/13,34
Application number: 45441/99,34
Application number: 31098/05,34
Application number: 15809/02,34
Application number: 35680/05,34
"Aka v. Turkey judgment of 23 September 1998, Reports 1998-VI, pp. 2680 and suiv., p. 2683, §§ 55-56",34
Application number: 43453/04,34
"L.C.B. v. the United Kingdom, 9 June 1998, § 36, Reports of Judgments and Decisions 1998-III",34
Application number: 58055/10,34
Application number: 41661/98,34
Application number: 45553/05,34
Application number: 42057/98,34
Application number: 36085/05,34
Application number: 25624/02,34
Application number: 30877/02,34
Application number: 112/99,34
Application number: 34308/96,34
"Winterwerp v. the Netherlands, 24 October 1979, Series A no. 33",34
Application number: 4/77,34
Application number: 69264/01,33
"Ireland v. the United Kingdom, judgment of 18 January 1978, Series A no. 25, p. 65, § 161",33
Application number: 64359/01,33
Application number: 8019/16,33
Application number: 29737/08,33
Application number: 15667/03,33
Application number: 2033/04,33
Application number: 98/06,33
Application number: 17214/05,33
Application number: 12628/09,33
Application number: 29514/05,33
"Amuur v. France, judgment of 25 June 1996, Reports of Judgments and Decisions 1996-III, p. 846, § 36",33
"Boyle and Rice v. the United Kingdom, 27 April 1988, § 52, Series A no. 131",33
Application number: 40503/17,33
Application number: 42393/98,33
Application number: 32578/96,33
Application number: 43978/98,33
Application number: 32579/96,33
Application number: 60908/11,33
Application number: 45291/06,33
Application number: 63684/00,33
Application number: 39521/98,33
Application number: 2929/04,33
Application number: 40828/12,32
Application number: 75109/01,32
Application number: 37235/97,32
Application number: 47458/99,32
Application number: 15512/08,32
Application number: 73661/01,32
Application number: 42162/02,32
Application number: 4824/06,32
"Artico v. Italy, judgment of 13 May 1980, Series A no. 37, p. 16, § 33",32
Application number: 42165/02,32
Application number: 35090/09,32
"Schenk v. Switzerland, 12 July 1988, §§ 45-46, Series A no. 140",32
Application number: 24069/03,32
Application number: 26711/07,31
Application number: 28495/06,31
Application number: 48173/99,31
Application number: 28516/06,31
Application number: 38621/97,31
Application number: 48319/99,31
Application number: 23131/03,31
Application number: 36505/02,31
Application number: 53749/00,31
Application number: 67/93,31
Application number: 68955/12,31
Application number: 25144/94,31
Application number: 43844/98,31
Application number: 2191/03,31
Application number: 28743/03,31
Application number: 60403/00,31
Application number: 65599/10,31
Application number: 57941/00,31
Application number: 58699/00,31
Application number: 101/05,31
Application number: 29426/08,31
Application number: 178/02,31
Application number: 505/02,31
"Observer and Guardian v. the United Kingdom, 26 November 1991, § 59, Series A no. 216",31
Application number: 122/17,31
Application number: 8317/78,31
Application number: 25119/09,31
"Vernillo v. France, judgment of 20 February 1991, Series A no. 198, pp. 11-12, § 27",31
Application number: 14462/03,31
Application number: 37913/05,31
Application number: 43186/98,31
Application number: 60798/10,31
Application number: 43185/98,31
Application number: 42409/98,31
Application number: 47457/99,30
Application number: 57795/00,30
Application number: 62584/00,30
Application number: 14290/03,30
Application number: 46/06,30
"Chahal v. the United Kingdom, 15 November 1996, Reports 1996-V",30
Application number: 28078/95,30
Application number: 1218/07,30
"Papamichalopoulos and Others v. Greece, judgment of 24 June 1993, Series A no. 260-B, § 45",30
Application number: 38353/07,30
Application number: 75805/16,30
Application number: 3989/07,30
Application number: 12639/02,30
Application number: 31414/96,30
Application number: 8440/78,30
Application number: 12277/04,30
Application number: 14600/05,30
Application number: 412/03,29
Application number: 49868/19,29
Application number: 55974/16,29
Application number: 55638/00,29
Application number: 70945/11,29
Application number: 75725/01,29
Application number: 55066/00,29
Application number: 21727/08,29
Application number: 57511/19,29
"Portington v. Greece judgment of 23 September 1998, Reports 1998-VI, p. 2633, § 33",29
Application number: 33781/15,29
Application number: 5903/10,29
Application number: 77116/01,29
"Vernillo v. France, 20 February 1991, § 27, Series A no. 198",29
Application number: 41743/17,29
Application number: 18/99,29
"Sporrong and Lönnroth v. Sweden, judgment of 23 September 1982, Series A no. 52, pp. 24-25, § 63",29
Application number: 35677/04,29
"W. v. Switzerland, judgment of 26 January 1993, Series A no. 254-A, p. 15, § 30",29
Application number: 3040/03,29
Application number: 37270/11,29
Application number: 32152/04,28
Application number: 71612/01,28
Application number: 61411/15,28
Application number: 67537/01,28
"Golder v. the United Kingdom, 21 February 1975, § 36, Series A no. 18",28
"McCann and Others v. the United Kingdom, 27 September 1995, Series A no. 324",28
Application number: 50357/99,28
Application number: 73196/12,28
Application number: 48653/13,28
Application number: 66911/09,28
Application number: 72893/12,28
Application number: 30582/04,28
Application number: 9717/13,28
Application number: 66910/01,28
Application number: 50425/99,28
Application number: 15531/89,28
Application number: 117/03,28
Application number: 15530/89,28
Application number: 556/10,28
Application number: 24009/07,28
Application number: 8022/77,28
Application number: 21487/12,28
Application number: 8027/77,28
Application number: 5114/09,28
Application number: 67354/09,28
"Vocaturo v. Italy judgment of 24 May 1991, Series A no. 206-C, p. 32, para. 17",28
Application number: 77718/12,28
Application number: 58/93,28
Application number: 12/98,28
Application number: 35222/04,28
Application number: 32131/08,28
"Boyle and Rice v. the United Kingdom judgment of 27 April 1988, Series A no. 131, p. 23, § 52",28
Application number: 51770/07,28
Application number: 70665/01,28
Application number: 41617/08,28
Application number: 74345/01,28
Application number: 45656/99,28
Application number: 91/92,28
Application number: 48209/99,28
Application number: 48207/99,28
"Sporrong and Lönnroth v. Sweden, judgment of 23 September 1982, Series A no. 52, p. 26, § 69",28
Application number: 44363/14,27
Application number: 56/90,27
Application number: 44953/98,27
Application number: 3322/67,27
Application number: 11093/07,27
Application number: 31098/08,27
Application number: 44952/98,27
Application number: 70074/01,27
Application number: 26323/95,27
Application number: 75734/12,27
Application number: 49169/09,27
Application number: 2708/09,27
Application number: 76642/01,27
Application number: 64/08,27
Application number: 6544/10,27
Application number: 27245/95,27
Application number: 6003/10,27
Application number: 46852/13,27
Application number: 65938/09,27
Application number: 13122/11,27
Application number: 49859/99,27
Application number: 1191/08,27
Application number: 8025/77,27
Application number: 37442/97,27
"Philis v. Greece (no. 2) judgment of 27 June 1997, Reports of judgments and decisions 1997-IV, p. 1083, § 35",27
"Aka v. Turkey, 23 September 1998, Reports 1998 VI, pp. 2674 2676, §§ 17-25, and p. 2682, §§ 50-51",27
Application number: 74/87,27
Application number: 17605/04,27
Application number: 54563/00,27
Application number: 71912/01,27
Application number: 37664/04,27
Application number: 18589/02,27
Application number: 42219/98,27
Application number: 26968/02,27
Application number: 48059/06,27
Application number: 50705/11,27
Application number: 61164/00,27
Application number: 36397/03,27
Application number: 72/09,27
Application number: 57953/00,27
Application number: 34796/09,27
Application number: 45520/04,27
Application number: 24/94,26
Application number: 37683/97,26
Application number: 33501/04,26
Application number: 63484/00,26
Application number: 63475/00,26
"Dombo Beheer B.V. v. the Netherlands, 27 October 1993, § 33, Series A no. 274",26
Application number: 39013/02,26
"Aksoy v. Turkey, judgment of 18 December 1996, Reports 1996-VI, p. 2286, § 95",26
Application number: 31981/96,26
Application number: 28/00,26
Application number: 25114/03,26
Application number: 42832/06,26
Application number: 35720/04,26
Application number: 63571/16,26
Application number: 50806/07,26
Application number: 34591/96,26
Application number: 62002/00,26
Application number: 28198/15,26
Application number: 623/02,26
Application number: 88/01,26
Application number: 29084/07,26
Application number: 14747/07,26
Application number: 50371/07,26
"De Wilde, Ooms and Versyp v. Belgium, 18 June 1971, § 76, Series A no. 12",26
Application number: 41508/07,26
"Klaas v. Germany, judgment of 22 September 1993, Series A no. 269, pp. 17-18, § 30",26
Application number: 39860/98,26
Application number: 47033/99,26
"L.C.B. v. the United Kingdom, 9 June 1998, § 36, Reports of Judgments and Decisions 1998 III",26
Application number: 27677/02,26
Application number: 54637/07,26
Application number: 15022/07,26
Application number: 25195/07,26
Application number: 50372/07,26
Application number: 22429/07,26
Application number: 47245/07,26
Application number: 15737/07,26
Application number: 68798/01,26
Application number: 2912/11,26
Application number: 43362/96,26
Application number: 28923/09,26
Application number: 3323/67,26
Application number: 46231/99,26
Application number: 3344/67,26
Application number: 26260/02,26
Application number: 24436/94,26
Application number: 40772/98,26
"Airey v. Ireland, 9 October 1979, § 24, Series A no. 32",26
Application number: 36797/97,26
Application number: 65286/13,26
"Klaas v. Germany, 22 September 1993, § 30, Series A no. 269",26
"Sporrong and Lönnroth v. Sweden, judgment of 23 September 1982, Series A no. 52, pp. 24-25, § 63, and p. 26, § 69",26
Application number: 27521/04,26
Application number: 15413/03,26
Application number: 34687/96,26
"L.C.B. v. the United Kingdom, 9 June 1998, § 36, Reports 1998-III",26
Application number: 45558/99,26
Application number: 57270/14,26
Application number: 42758/98,26
Application number: 32900/96,26
Application number: 67599/10,26
"Akdivar and Others v. Turkey, 16 September 1996, § 68, Reports of Judgments and Decisions 1996-IV",26
Application number: 36137/07,26
Application number: 58812/15,25
Application number: 24342/04,25
Application number: 27458/06,25
"Scollo v. Italy judgment of 28 September 1995, Series A no. 315-C, p. 56, § 50",25
"Aka v. Turkey judgment of 23 September 1998, Reports 1998-VI, pp. 2680 et seq.",25
"Akkus v. Turkey judgment of 9 July 1997, Reports 1997-IV, pp. 1309-1310, § 29, p. 1310, §§ 30-31, p. 1311, § 35",25
Application number: 40429/14,25
Application number: 17170/04,25
Application number: 3/94,25
Application number: 45526/99,25
Application number: 35122/05,25
"Handyside v. the United Kingdom, 7 December 1976, § 48, Series A no. 24",25
Application number: 54252/07,25
Application number: 39428/96,25
Application number: 29798/96,25
Application number: 36711/12,25
Application number: 14991/02,25
Application number: 36678/12,25
Application number: 463/03,25
"Golder v. the United Kingdom, judgment of 21 February 1975, Series A no. 18, p. 18, § 36",25
Application number: 36/02,25
Application number: 38501/02,25
"James and Others v. the United Kingdom, 21 February 1986, § 37, Series A no. 98",25
"Hornsby v. Greece, judgment of 19 March 1997, Reports 1997-II, p. 510, § 40",25
Application number: 33502/09,25
Application number: 42994/05,25
Application number: 71074/01,25
Application number: 45603/05,25
Application number: 49/07,25
Application number: 466/03,25
Application number: 12315/04,25
Application number: 19363/05,25
Application number: 33352/02,25
Application number: 37392/03,25
"Keegan v. Ireland, 26 May 1994, § 49, Series A no. 290",25
Application number: 64480/09,25
Application number: 32181/04,25
Application number: 30197/96,25
Application number: 6569/04,25
Application number: 11/07,25
Application number: 73/00,25
Application number: 33908/04,25
Application number: 28621/11,25
Application number: 28/77,25
Application number: 65713/13,24
Application number: 3521/07,24
Application number: 26261/05,24
Application number: 65399/01,24
Application number: 67667/09,24
Application number: 26377/06,24
Application number: 73/91,24
Application number: 36894/04,24
Application number: 31039/11,24
Application number: 9/92,24
Application number: 49975/15,24
Application number: 3531/94,24
Application number: 28492/15,24
Application number: 25748/15,24
Application number: 41974/98,24
Application number: 42418/05,24
Application number: 36146/05,24
Application number: 14881/04,24
Application number: 36/77,24
Application number: 29612/09,24
Application number: 27103/04,24
Application number: 28369/07,24
Application number: 1413/08,24
Application number: 60619/00,24
"Vernillo v. France, judgment of 20 February 1991, Series A no. 198, § 27",24
Application number: 73047/01,24
Application number: 26699/96,24
Application number: 73204/13,24
Application number: 68271/14,24
Application number: 70329/12,24
Application number: 45133/98,24
Application number: 12214/07,24
Application number: 68273/14,24
Application number: 8549/06,24
Application number: 35579/03,23
Application number: 81024/12,23
Application number: 26255/07,23
Application number: 65542/12,23
"Ezelin v. France, 26 April 1991, Series A no. 202",23
"Guerra and Others v. Italy, 19 February 1998, § 44, Reports of Judgments and Decisions 1998 I",23
Application number: 23226/16,23
Application number: 34939/97,23
Application number: 300/11,23
Application number: 25794/13,23
Application number: 74959/13,23
"Handyside v. the United Kingdom, judgment of 7 December 1976, Series A no. 24, p. 23, § 49",23
Application number: 29465/04,23
Application number: 26258/07,23
Application number: 77429/12,23
Application number: 34614/17,23
"Sporrong and Lönnroth v. Sweden, 23 September 1982, § 69, Series A no. 52",23
Application number: 13008/13,23
Application number: 20/09,23
Application number: 45917/99,23
"Engel and Others v. the Netherlands, 8 June 1976, Series A no. 22",23
Application number: 32949/17,23
Application number: 77517/01,23
Application number: 10626/83,23
Application number: 2278/03,23
Application number: 64586/13,23
Application number: 52340/08,23
Application number: 1451/10,23
Application number: 29458/04,23
Application number: 7451/09,23
Application number: 19678/07,23
Application number: 23782/06,23
"Golder v. the United Kingdom, judgment of 21 February 1975, Series A no. 18, pp. 13-18, §§ 28-36",23
Application number: 46629/06,23
Application number: 48316/99,23
"Belziuk v. Poland, judgment of 25 March 1998, Reports 1998-II, p. 573, § 49",23
Application number: 846/16,23
Application number: 30417/96,23
Application number: 34001/13,23
Application number: 47/94,23
Application number: 19123/09,23
Application number: 44055/13,23
Application number: 73712/12,23
