0
""
"Bijelic v. Montenegro and Serbia, no. 11890/05, 28 April 2009"
"Armoniene v. Lithuania, no. 36919/02, 25 November 2008"
"Kudla v. Poland [GC], no. 30210/96, § 157, ECHR 2000-XI"
"Khashiyev and Akayeva v. Russia (nos. 57942/00 and 57945/00, 24 February 2005), §§ 119-121"
"Eur. Court H.R. Corigliano judgment of 10 December 1982, Series A no. 57, p. 14, para. 37"
"Castravet v. Moldova, no. 23393/05, § 23, 13 March 2007"
"Lavents v. Latvia, no. 58442/00, § 135, 28 November 2002"
"Steel and Others v. the United Kingdom, 23 September 1998, § 81, Reports of Judgments and Decisions 1998-VII"
"Stec and Others v. the United Kingdom (dec.) [GC], nos. 65731/01 and 65900/01, § 32, ECHR 2005-X"
"Varbanov v. Bulgaria, no. 31365/96, § 58, ECHR 2000-X"
"Nasrulloyev v. Russia, no. 656/06, 11 October 2007"
"Vincic and Others v. Serbia, nos. 44698/06, 44700/06, 44722/06, 44725/06, 49388/06, 50034/06, 694/07, 757/07, 758/07, 3326/07, 3330/07, 5062/07, 8130/07, 9143/07, 9262/07, 9986/07, 11197/07, 11711/07, 13995/07, 14022/07, 20378/07, 20379/07, 20380/07, 20515/07, 23971/07, 50608/07, 50617/07, 4022/08, 4021/08, 29758/07 and 45249/07, §§ 51, 56 and 61, 1 December 2009"
"Luberti v. Italy, 23 February 1984, Series A no. 75, § 27"
"Norwood v. the United Kingdom (dec.), no. 23131/03, ECHR 2004-XI"
"Mastromatteo v. Italy [GC], no. 37703/97, § 72, ECHR 2002-VIII"
"Puig Panella v. Spain, no. 1483/02, 25 April 2006"
"S.N. v. Sweden, no. 34209/96, ECHR 2002-V"
"Selmouni v. France [GC], no. 25803/94, §§ 78-79, ECHR 1999-V"
"Hauschildt v. Denmark, 24 May 1989, §§ 46-48, 50 and 54, Series A no. 154"
"Blanco Callejas v. Spain (dec.), no. 64100/00, 18 June 2002"
"Sonkaya v. Turkey, no 11261/03, § 25, 12 February 2008"
"No. 8118/77, Dec. 19.3.81, D.R. 2 p. 105"
"Perez v. France [GC], no 47287/99, § 80, ECHR 2004-I"
"Raškovic and Milunovic v. Serbia, nos. 1789/07 and 28058/07, 31 May 2011"
"Zhigalev v. Russia, no. 54891/00, §§ 143 and 146, 6 July 2006"
"Ahmet Özkan and Others v. Turkey, no. 21689/93, § 426, 6 April 2004"
"5926/72, 7 December 1976, § 56"
"Comingersoll S.A. v. Portugal [GC], no. 35382/97, § 35, ECHR 2000-IV"
"Capuano judgment of 25 June 1987, Series A no 119"
"X v. Croatia, no. 11223/04, § 47, 17 July 2008"
"Larkos c. Chypre [GC], no 29515/95, §§ 30-31, CEDH 1999-I"
"Artico v. Italy, 13 May 1980, §§ 33-37, Series A no. 37"
"Kreuz v. Poland, no. 28249/95, § 52-57, ECHR 2001-VI"
"Partidul Comunistilor (Nepeceristi) and Ungureanu v. Romania, no. 46626/99, § 27, 3 February 2005"
"Çamdereli v. Turkey, no. 28433/02, §§ 28-29, 17 July 2008"
"Coster v. the United Kingdom [GC], no 24876/94, § 104, 18 January 2001"
"Bugajny and Others v. Poland, no. 22531/05, §§ 65-66, 6 November 2007"
"Veeber v. Estonia (no. 1), no. 37571/97, § 62, 7 November 2002"
"Lazzarini and Ghiacci v. Italy (dec.), no. 53749/00, 7 November 2002"
"T.P. and K.M. v. the United Kingdom [GC], no. 28945/95, ECHR 2001-V"
"Csosz v. Hungary, no. 34418/04, § 33, 29 January 2008"
"Creanga v. Romania [GC], no 29226/03, §§ 88-90, 23 February 2012"
"Arslan v. Turkey (dec.), no. 36747/02, 21 November 2002, ECHR 2002-X (extracts)"
"Keenan, cited above, § 111"
"Musikhanova and Others v. Russia, no. 27243/03, § 107, 4 December 2008"
"Wynen v. Belgium, no. 32576/96, § 32, ECHR 2002-VIII"
"Mkrtchyan v. Armenia, no. 6562/03, § 37, 11 January 2007"
"Saadi v. Italy [GC], no. 37201/06, § 143, ECHR 2008"
"Rotaru v. Romania [GC], no 28341/95, § 69, ECHR 2000-V"
"Castells v. Spain, judgment of 23 April 1992, Series A no. 236, § 43"
"Eur. Court H.R. Deweer judgment of 27 February 1980, Series A no. 35, p. 25 para. 49"
"Nold v. Germany, no. 27250/02, § 87, 29 June 2006"
"A.K. v. Austria, no. 20832/92, Commission decision of 1 December 1993"
"D.H. and Others v. the Czech Republic [GC], no. 57325/00, § 175, ECHR 2007"
"Tabesh v. Greece, no 8256/07, §§ 38 à 44, 26 November 2009"
"X v. Austria, no. 7761/77, Commission decision of 8 May 1978, Decisions and Reports 14, p. 173"
"Doronin v. Ukraine, no. 16505/02, § 59, 19 February 2009"
"Calvelli and Ciglio v. Italy [GC], no. 32967/96, § § 41-57, ECHR 2002-I"
"Yilmaz v. Germany, no. 52853/99, §§ 48-49, 17 April 2003"
"Balogh v. Hungary (dec.), no. 47940/99, 13 May 2003"
"Nuutinen v. Finland, no. 32842/96, § 128, ECHR 2000-VIII"
"Berhani v. Albania, no. 847/05, § 50, 27 May 2010"
"Petrova and Chornobryvets v. Ukraine, nos. 6360/04 and 16820/04, § 15, 15 May 2008"
"Collmann v. Germany (dec.), no. 29453/02, 3 April 2007"
"Radchikov v. Russia, no. 65582/01, § 48, 24 May 2007"
"Lietzow v. Germany, no. 24479/94, § 47, ECHR 2001-I"
"Oleksy v. Poland (dec.), no. 1379/06, 16 June 2009"
"Lutz, Englert, Nölkenbockhoff judgments of 25 August 1987, Series A no. 123, p. 25 para. 60, p. 54-55 para. 37 and p. 79 para. 37"
"Windisch v. Austria, 27 September 1990, § 23, Series A no. 186"
"Sejdovic v. Italy [GC], no. 56581/00, §§ 121-24, ECHR 2006-II"
"Micallef v. Malta [GC], no. 17056/06, §§ 93-99, 15 October 2009"
"Mehemi v. France (no. 2), no. 53470/99, § 45, ECHR 2003-IV"
"Melnik v. Ukraine, no. 72286/01, 28 March 2006"
"Kirilov v. Bulgaria, no. 15158/02, §§ 43-48, 22 May 2008"
"T. v. the United Kingdom [GC], no. 24724/94, 16 December 1999"
"Paul and Audrey Edwards v. the United Kingdom, no. 46477/99, § 71, ECHR 2002-II"
"Akay v. Turkey (dec.), no. 34501/97, 19 February 2002"
"Amuur v. France, 25 June 1996, § 36, Reports of Judgments and Decisions 1996-III"
"Horvat v. Croatia, no. 51585/99, § 47, ECHR 2001-VIII"
"Milosevic v. the Netherlands (dec.), no. 77631/01, 19 March 2002"
"Beyhan Kaygisiz v. Turkey (dec.), no 44032/98, 29 August 2006"
"Matyar v. Turkey, no. 23423/94, § 108, 21 February 2002"
"Ramazanova and Others v. Azerbaijan, no. 44363/02, 1 February 2007"
"Gebremedhin [Gaberamadhien] v. France, no. 25389/05, ECHR 2007-V"
"Camenzind v. Switzerland, 16 December 1997, Reports 1997-VIII"
"Umlauft, Gradinger, Pramstaller, Palaoro and Pfarrmeier v. Austria, arrêts du 23 October 1995, Series A nos. 328 A-C and 329 A-C"
"Taron v. Germany (dec.), no. 53126/07, 29 May 2012"
"Pedovic v. the Czech Republic, no 27145/03, § 34, 18 July 2006"
"Gümüsten v. Turkey, no. 47116/99, §§ 24-26, 30 November 2004"
"Nachova and Others v. Bulgaria [GC], nos. 43577/98 and 43579/98, § 147, ECHR 2005-VII"
"Sommerfeld v. Germany [GC], no 31871/96, § 65, ECHR 2003-VIII (extracts)"
"Bolat v. Russia, no. 14139/03, ECHR 2006-XI"
"Shannon v. the United Kingdom (dec.), no. 67537/01, ECHR 2004-IV"
"Matznetter v. Austria, 10 November 1969, Series A no. 10, § 9"
"Tejedor García v. Spain, 16 December 1997, § 31, Reports of Judgments and Decisions 1997 VIII"
"Alexandrou v. Turkey (merits), no. 16162/90, § 21, 20 January 2009"
"Emonet and Others v. Switzerland, no 39051/03, § 68, ECHR 2007-XIV"
"Micallef v. Malta [GC], no. 17056/06, § 115, ECHR 2009-..."
"Coëme and Others v. Belgium, nos. 32492/96, 32547/96, 32548/96, 33209/96 and 33210/96, § 98, ECHR 2000 VII"
"Bielaj v. Poland, no. 43643/04, 27 April 2010"
"Toteva v. Bulgaria, no. 42027/98, § 45, 19 May 2004"
"Keegan v. Ireland, 26 May 1994, §§ 51-52, Series A no 290"
"Moreira de Azevedo v. Portugal, 23 October 1990, Series A no 189"
"Powell v. the United Kingdom (dev.), no 45305/99, ECHR 2000-V"
"Case “relating to certain aspects of the laws on the use of languages in education in Belgium” v. Belgium (Merits), 23 July 1968, Series A no. 6"
"Nuray Sen v. Turkey (no. 2), no. 25354/94, 30 March 2004"
"Andrejeva v. Latvia [GC], no. 55707/00, ECHR 2009-..."
"Vatevi v. Bulgaria, no. 55956/00, § 40, 28 September 2006"
"McElhinney v. Ireland [GC], no. 31253/96, § 38, ECHR 2001-XI (extracts)"
"Fretté v. France, no. 36515/97, § 31, ECHR 2002-I"
"McMichael v. the United Kingdom, judgment of 24 February 1995, Series A no. 307 B, § 86"
"Chitayev and Chitayev v. Russia, no. 59334/00, §§ 143-144, 18 January 2007"
"Dellis v. Greece, no 24977/07, §§ 14 and 20, 16 April 2009"
"Makaratzis v. Greece [GC], no. 50385/99, § 73, ECHR 2004-XI"
"Gorou v. Greece (no. 3), no. 21845/03, 22 June 2006"
"Salah Sheekh v. the Netherlands, no. 1948/04, §§ 121 et seq., ECHR 2007-... (extracts)"
"X and Y v. the Netherlands, no. 8978/80, 26 March 1985"
"Eur. Court H.R. Colozza judgment of 12 February 1985, Series A no. 89 paras. 27 and 28"
"Isgrò v. Italy, judgment of 19 February 1991, Series A no. 194-A, p. 13, § 35"
"Kyprianou v. Cyprus [GC], no 73797/01, § 174, ECHR 2005-XII"
"Guerrera and Fusco v. Italy, no. 40601/98, 3 April 2003"
"X v. the United Kingdom, no. 7547/76, Commission decision of 15 December 1977"
"Anheuser-Busch Inv. v. Portugal [GC], no 73049/01, ECHR 2007-I"
"Olujic v. Croatia, no. 22330/05, §§ 31-44, 5 February 2009"
"Terazzi S.r.l. v. Italy, no. 27265/95, § …, 17 October 2002"
"Vajnai (II) v. Hungary (dec.), no. 44438/08, 18 January 2011"
"Georginis-Giorginis v. Greece, no 3271/08, §§ 11 and 15, 17 December 2009"
"Galstyan v. Armenia, no. 26986/03, § 87, 15 November 2007"
"Kuimov v. Russia (dec.), no. 32147/04, 15 May 2007"
"Ian Edgar (Liverpool) Limited v. the United Kingdom (dec.), no. 37683/97, 25 January 2000"
"Sarban v. Moldova, no. 3456/05, § 84-87, 4 October 2005"
"Popov v. Moldova (no. 1), no. 74153/01, § 48, 18 January 2005"
"Kats and Others c. Ukraine, no 29971/04, 18 December 2008"
"Nuri v. Albania, no. 12306/04, §§ 26-29 and 35-40, 3 February 2009"
"Iera Moni Profitou Iliou Thiras v. Greece, no 32259/02, § 34, 22 December 2005"
"Witold Litwa v. Poland, no 26629/95, 4 April 2000, § 46"
"Dayanan v. Turkey, no 7377/03, ECHR 2009-..."
"Dolneanu v. Moldova, no. 17211/03, § 44, 13 November 2007"
"Poleshchuk v. Russia, no. 60776/00, § 28, 7 October 2004"
"Hussain v. the United Kingdom, 21 February 1996, Reports 1996-I"
"Aleksanyan v. Russia, no. 46468/06, § 239, 22 December 2008"
"Mahler v. Germany, no. 29045/95, Commission decision of 14 January 1998"
"Connors v. the United Kingdom, no. 66746/01, § 69, 27 May 2004"
"Rivière v. France, no 33834/03, § 63, 11 July 2006"
"Guerrera and Fusco v. Italy, no 40601/98, § 53, 3 April 2003"
"Kopecký v. Slovakia [GC], no. 44912/98, § 49, ECHR 2004-IX"
"Klyakhin v. Russia, no. 46082/99, §§ 118 and 119, 30 November 2004"
"Camberrow MM5 AD v. Bulgaria (dec.), no 50357/99, 1er April 2004"
"Cha'are Shalom Ve Tsedek v. France [GC], no 27417/95, § 72, ECHR 2000-VII"
"Allan v. the United Kingdom (dec.), no. 48539/99, 28 August 2001"
"Lucà v. Italy, no. 33354/96, 27 February 2001"
"Aksoy v. Turkey, 18 December 1996, § 98, Reports 1996-VI"
"Mikulic, § 57"
"Ramirez Sanchez v. France [GC], no. 59450/00, ECHR-2006-..."
"Beian v. Romania (no. 1), no. 30658/05, §§ 33 and 39, ECHR 2007-XIII (extracts)"
"Pauger v. Austria, 28 May 1997, § 59, Reports of Judgments and Decisions 1997 III"
"Petrenco v. Moldova, no 20928/05, § 54, 30 March 2010"
"Zaunegger v. Germany, no. 22028/04, 3 December 2009"
"Labita v. Italy [GC], no 26772/95, ECHR 2000-IV"
"Kokkinakis v. Greece, 25 May 1993, Series A no. 260-A"
"Nelson v. the United Kingdom, no 74961/01, §§ 12-13, 1 April 2008"
"Nedayborshch v. Russia, no. 42255/04, § 21, 1 July 2010"
"Becciev v. Moldova, no. 9190/03, §§ 56 and 59, 4 October 2005"
"Grzincic v. Slovenia, no 26867/02, § 95, 3 May 2007"
"Pockajevs v. Latvia (dec.), no. 76774/01, 21 October 2004"
"Assenov and Others v. Bulgaria, 28 October 1998, Reports of Judgments and Decisions 1998-VIII, §§ 102 et seq"
"Anheuser-Busch Inv. v. Portugal [GC], no 73049/01, § 62, ECHR 2007-..."
"Sergey Shevchenko v. Ukraine, no. 32478/02, 4 April 2006"
"Tarkan Yavas v. Turkey, no. 58210/08, 18 September 2012"
"Bamber v. the United Kingdom, no. 13183/87, Decision of the Commission of 14 December 1988, Decisions and Reports (DR) no. 59, p. 253"
"Hamer v. Belgium, no. 21861/03, §§ 71-89, ECHR 2007-XIII (extracts)"
"Mirilashvili v. Russia (dec.) no. 6293/04, 10 July 2007"
"Zentar v. France, no 17902/02, § 26, 13 April 2006"
"Frasik v. Poland, no. 22933/02, §§ 95-96, ECHR 2010-... (extracts)"
"Mirazoviÿ v. Bosnia and Herzegovina ((dec.)), no. 13628/03, 16 May 2006"
"I.J.L. and Others v. the United Kingdom, nos. 29522/95, 30056/96 and 30574/96, ECHR 2000-IX"
"McFarlane v. Ireland [GC], no. 31333/06, § 112, 10 September 2010"
"Kabasakal and Atar v. Turkey, nos. 70084/01 and 70085/01, § 37, 19 September 2006"
"Groppera Radio AG and Others v. Switzerland, 28 March 1990, §§ 10 and 49, Series A no. 173"
"Soering v. the United Kingdom, 7 July 1989, § 91, Series A no. 161"
"Vasileva v. Denmark, (no. 52792/99, 25 September 2003)"
"Valašinas v. Lithuania, no. 44558/98, § 103, ECHR 2001-VIII"
"Brogan and Others v. the United Kingdom, 29 November 1988, § 61, Series A no 145-B"
"Çakıcı v. Turkey [GC], no 23657/94, § 86, ECHR 1999-IV"
"No. 12858/87, Dec. 3.5.88"
"Roïdakis v. Greece (no. 2), no. 50914/06, 28 May 2009"
"Moskalyuk v. Russia, no. 3267/03, 14 January 2010"
"Loizidou v. Turkey (preliminary objections) [GC], 23 March 1995, § 62, Series A no. 310"
"Patyi and Others v. Hungary, no. 5529/05, § 43, 7 October 2008"
"G. v. Germany (dec.), no. 10577/83, 6 May 1985"
"Müller v. Austria, no. 5849/72, Commission’s report of 1 October 1975, Decisions and Reports (DR) 3,"
"Sisojeva and Others v. Latvia [GC], no. 60654/00, ECHR 2007-II"
"Kirilova and Others v. Bulgaria (just satisfaction), nos. 42908/98, 44038/98, 44816/98 and 7319/02, § 33, 14 June 2007"
"Medova v. Russia, no. 25385/04, § 116, ECHR 2009-...."
"Dimitrov v. Bulgaria, no. 47829/99, § 80, 23 September 2004"
"Y. v. Norway, no. 56568/00, § 46, ECHR 2003-II (extracts)"
"Kuric and Others v. Slovenia [GC], no. 26828/06, § 235, 26 June 2012"
"Malenko v. Ukraine, no. 18660/03, § 40, 19 February 2009"
"Milan v. France, no 7549/03, § 59, 24 January 2008"
"D.H. and Others v. the Czech Republic [GC], no. 57325/00, ECHR 2007"
"Muskhadzhiyeva and Others v. Belgium (no 41442/07, 19 January 2010"
"Micallef v. Malta [GC], no. 17056/06, § 102, 15 October 2009"
"Opuz v. Turkey, no 33401/02, 9 June 2009"
"Padovani v. Italy, 26 February 1993, § 27, Series A no. 257-B"
"Plattform “Ärzte für das Leben” v. Austria, 21 June 1988, § 34, Series A no. 139"
"Mamedova v. Russia, no 7064/05, 1er June 2006"
"Obukhova v. Russia, no. 34736/03, 8 January 2009"
"Labita c. Italy [GC], no 26772/95, ECHR 2000-IV"
"Ezeh and Connors v. the United Kingdom, [GC], nos. 39665/98 and 40086/98, ECHR 2003-X"
"Keenan v. the United Kingdom, no. 27229/95, §§ 123-133, ECHR 2001-III"
"GApril Yosifov v. Bulgaria, no. 74012/01, 6 November 2008"
"Guja v. Moldova [GC], no. 14277/04, §§ 70 and 71, ECHR 2008"
"Teixeira de Castro v. Portugal, 9 June 1998, § 34, Reports of Judgments and Decisions 1998-IV"
"Ilascu and Others v. Moldova and Russia [GC], no. 48787/99, §§ 461-464, ECHR 2004-VII)"
"Eur. Court H.R. Le Compte, Van Leuven and De Meyere judgment of 23 June 1981, Series A no. 43, p. 20 para. 44"
"Denis Vasilyev v. Russia, no 32704/04, § 157, 17 December 2009"
"Carson and Others v. the United Kingdom [GC], no. 42184/05, § 53, 16 March 2010"
"Krcmár and Others v. the Czech Republic, no 35376/97, § 40, 3 March 2000"
"Adamsons v. Latvia, no. 3669/03, 24 June 2008"
"Zakharkin v. Russia, no. 1555/04, § 123, 10 June 2010"
"Çiraklar v. Turkey, 28 October 1998, §§ 44-45, Reports of Judgments and Decisions 1998-VII"
"Streletz, Kessler and Krenz c. Germany [GC], no.s 34044/96, 35532/97 and 44801/98, § 50, ECHR 2001-II"
"Namat Aliyev v. Azerbaijan, no. 18705/06, § 90, 8 April 2010"
"Godlevskiy v. Russia, no 14888/03, § 34, 23 October 2008"
"Barberà, Messegué and Jabardo v. Spain, 6 December 1988, § 68, Series A no. 146"
"Wieser v. Austria, no. 2293/03, § 37, 22 February 2007"
"Buffalo Srl en liquidation c. Italie, no 38746/97, § 32, 3 juillet 2003"
"Kemmache v. France (no 1 and no 2), 27 November 1991, Series A no 218"
"Deweer v. Belgium, 27 February 1980, § 42, Series A no 35"
"Mooren v. Germany [GC], no. 11364/03, § 118, 9 July 2009"
"Moiseyev v. Russia, no. 62936/00, § 246, 9 October 2008"
"Stegarescu and Bahrin v. Portugal, no 46194/06, §§ 35-39, 6 April 2010"
"Kolesnik v. Russia, no. 26876/08, § 70, 17 June 2010"
"Petrovic v. Austria, 27 March 1998, § 38, Reports 1998-II"
"A.M. v. Italy, no. 37019/97, § 25, ECHR 1999-IX"
"Moretti and Benedetti v. Italy, no. 16318/07, § 32, 27 April 2010"
"Slivenko v. Latvia [GC], no. 48321/99, § 146, ECHR 2003-X"
"Steel and Others v. the United Kingdom, 23 September 1998, § 55, Reports of Judgments and Decisions 1998 VII"
"Gorodnitchev v. Russia, no. 52058/99, § 108, 24 May 2007"
"Oleksiy Mykhaylovych Zakharkin v. Ukraine, no. 1727/04, §§ 68-75, 24 June 2010"
"Meral v. Turkey (no 33446/02, §§ 21-26, 27 November 2007"
"D.H. and Others v. the Czech Republic [GC], no. 57325/00, § 176, ECHR 2007-IV"
"Molnárová and Kochanová v. Slovakia (dec.), no. 44965/98, 4 March 2003"
"Karalevicius v. Lithuania, no. 53254/99, 7 April 2005"
"D. v. Ireland (dec.), no. 26499/02, §§ 89 and 91, 28 June 2006"
"Epners-Gefners (dec.), no. 37862/02, § 52, 25 May 2010"
"Société Divagsa c. Espagne, no 20631/92, décision de la Commission du 12 mai 1993, Décisions et rapports (DR) 74"
"Broniowski v. Poland [GC], no. 31443/96, § 175, ECHR 2004-V"
